roll,pitch,yaw,ax,ay,az,wx,wy,wz,x_q,y_q,z_q,w_q,roll_xi,pitch_yi,yaw_zi,velocity_y
3.700909, -2.388807, -30.951999, 0.038086,-0.066895, 1.057617, 0.305176, 0.427246, 0.183105, 0.025554, 0.028693,-0.265989,-0.963210,-0.064593,-0.041693,0.540214, 0.000000
3.716189, -2.427945, -30.955718, 0.044434,-0.067383, 1.036621, 0.183105, 0.366211, 0.183105, 0.025590, 0.029058,-0.266004,-0.963194,-0.064860,-0.042376,0.540279, 0.000000
3.762096, -2.575306, -30.960513, 0.050293,-0.069336, 1.015625, -0.183105, 0.244141, 0.244141, 0.025631, 0.030404,-0.265984,-0.963157,-0.065661,-0.044948,0.540363, 0.000000
3.625559, -2.550001, -30.958304, 0.041992,-0.065430, 1.050293, 0.061035, 0.183105, 0.183105, 0.024543, 0.029874,-0.266010,-0.963195,-0.063278,-0.044506,0.540324, 0.000000
3.644808, -2.471620, -30.961449, 0.044922,-0.066406, 1.040527, 0.000000, 0.366211, 0.061035, 0.024887, 0.029261,-0.266056,-0.963192,-0.063614,-0.043138,0.540379, 0.000000
3.735125, -2.422857, -30.967972, 0.040039,-0.065918, 1.019531, 0.854492, 0.488281, 0.122070, 0.025758, 0.029062,-0.266104,-0.963162,-0.065190,-0.042287,0.540493, 0.000000
3.779076, -2.482741, -30.974006, 0.045410,-0.065918, 1.044434, 0.854492, 0.610352, 0.244141, 0.025986, 0.029669,-0.266124,-0.963132,-0.065957,-0.043332,0.540598, 0.000000
3.810293, -2.521235, -30.977544, 0.046875,-0.070312, 1.043457, -0.244141, 0.305176, 0.061035, 0.026158, 0.030065,-0.266133,-0.963112,-0.066502,-0.044004,0.540660, 0.000000
3.772279, -2.476184, -30.977862, 0.042480,-0.067383, 1.026855, 0.000000, 0.366211, 0.122070, 0.025944, 0.029599,-0.266160,-0.963125,-0.065839,-0.043218,0.540666, 0.000000
3.647617, -2.440630, -30.975755, 0.043945,-0.066406, 1.044434, 0.122070, 0.122070, 0.061035, 0.024979, 0.029010,-0.266185,-0.963161,-0.063663,-0.042597,0.540629, 0.000000
3.620509, -2.499516, -30.978135, 0.044922,-0.064453, 1.037598, 0.610352, 0.610352, 0.183105, 0.024613, 0.029442,-0.266194,-0.963155,-0.063190,-0.043625,0.540670, 0.000000
3.689129, -2.514000, -30.984648, 0.046387,-0.067871, 1.032227, 0.488281, 0.610352, 0.244141, 0.025155, 0.029725,-0.266226,-0.963124,-0.064387,-0.043878,0.540784, 0.000000
3.670068, -2.401381, -30.987742, 0.041992,-0.068848, 1.044922, 0.610352, 0.549316, 0.122070, 0.025257, 0.028735,-0.266293,-0.963133,-0.064055,-0.041912,0.540838, 0.000000
